Year,Album,Song,Text
2001,Deep Shadows & Brilliant Highlights,In Love And Lonely,"['In love and lonely', ""I'm not with you my baby"", 'Just to see you cry', ""I'm in love with you"", 'Not the tears in your eyes', ""I can't remember"", 'The last time you smiled', 'Oh I know how it feels', ""I know what it's like"", 'To be', ""Don't know what to do my baby"", ""It's not alright"", ""This can't be the end"", 'The time to say good bye', ""No I won't walk away that easy"", 'After all this time', 'Oh you know how it feels', ""You know what it's like"", 'You know how it is', ""But you just can't stop crying"", 'In love and lonely\n']"
2001,Deep Shadows & Brilliant Highlights,Don't Close Your Heart,"['I know how it feels to be on your own ', 'In this cruel world where hearts are bound to turn to stone ', 'Where you are alone ', 'And tired of breathing ', ""It's all going wrong "", ""And you just can't stand the pain any more "", ""You're too numb to believe in "", 'In anything ', ""Baby just don't close your heart "", ""Darling don't let me down "", 'I know how easy it is to let go ', 'Surrender to despair lurking at your door ', 'To lose your soul and all your feelings ', 'Strenght all gone ', 'And so many things left unsaid ', 'And deeds undone ', ""You've stopped caring "", ""'Cause it's all in vain "", 'You are so alone ', ""And you just can't stand the pain "", ""Don't let me down "", ""Just don't let me down\n""]"
2001,Deep Shadows & Brilliant Highlights,Love You Like I Do,"[""On my heart I'll bear the shame "", 'No prayer can ease the pain ', 'No one will love you ', 'No one will love you the way I do ', 'Love you like I do ', ""And there's no escape "", 'Just countless mistakes ', 'It will never be the same ', 'Witness trust fade away ', 'Love you like I do\n']"
2003,Love Metal,Buried Alive By Love,"['Again the burden of losing rests upon my shoulders', 'And its weight seems unbearable', 'Your tomb is where your heart is,', 'I should have told her', 'But within me hid a secret so terrible', ""To cry is to know that you're alive"", 'But my river of tears has run dry', 'I never wanted to fool you, no', 'But a cold heart is a dead heart', ""And it feels like I've been buried alive by love"", 'If I should die before I wake', 'Pray no one my soul to take', 'If I wake before I die,', 'Rescue me with your smile', ""There ain't no one my soul to take"", 'The kiss of vanity blessed me with a spiritual murder', 'And fed the gods of war insatiable', 'Your home is where the dark is', 'Embrace the fire indestructible', ""To die is to know that you're alive"", ""And my river of blood won't run dry"", 'I never wanted to lose you, no', 'rescue me with your smile', ""And they say to cry is to know that you're alive"", 'And my river of tears has run dry', 'A deserted soul is gone', 'A cold heart is a dead heart', 'Rescue me with your smile,', ""I've been buried alive by love"", 'Buried alive by love', ""I've been buried alive by love\n""]"
2003,Love Metal,The Funeral Of Hearts,"[""Love's the funeral of hearts"", 'And an ode for cruelty', 'When angels cry blood', 'On flowers of evil in bloom', 'The funeral of hearts', 'And a plea for mercy', 'When love is a gun', 'Separating me from you', 'She was the sun', 'Shining upon', 'The tomb of your hopes and dreams so frail', 'He was the moon', 'Painting you', ""With it's glow so vulnerable and pale"", 'She was the wind, carrying in', ""All the troubles and fears you've for years tried to forget"", 'He was the fire, restless and wild', 'And you were like a moth to that flame', 'The heretic seal beyond divine', ""A prayer to a god who's deaf and blind"", 'The last rites for souls on fire', 'Three little words and a question why', 'Separating me from you\n']"
2003,Love Metal,Beyond Redemption,"[""Oh I see your scars I know where they're from"", ""So sensually carved and bleeding until you're dead and gone"", ""I've seen it all before beauty and splendour torn"", ""It's when heaven turns to black and hell to white"", 'Right so wrong and wrong so right', 'Now', 'Chorus:]', 'Feel it turning your heart into stone', 'Feel it piercing your courageous soul', 'Beyond now - redemption', ""No one's gonna catch you when you fall"", 'Oh I see you crawl you can barely walk', 'With arms wide open you keep on begging for more', ""I've been there before knocking on the same door"", ""It's when hate turns to love and love to hate"", 'Faith to doubt and doubt to faith', 'Chorus x2]', 'Beyond now - redemption\n']"
2003,Love Metal,Sweet Pandemonium,"['Today tomorrow seems so far away', 'And the wait in vain, yeah', 'So safe, in the blinding light of love unchained', ""In yesterday's grave, yeah"", 'The truth that could set souls free', 'Is buried within sweet pandemonium', 'Concealed by disbelief', 'The riddle stays veiled in sweet pandemonium', 'Afraid that everything remains unchanged', 'In this fragile dream, yeah', 'Ashamed of the shattered remains', 'Of promises made, yeah', 'Drained by the anger and grief', 'Fazed by the envy and greed ', 'The secret cries for a release', 'The lucidity hidden deep in sweet pandemonium', 'The riddle stays veiled in sweet pandemonium\n']"
2003,Love Metal,Soul On Fire,"[""There's a flame that leads our souls astray"", ""No one's safe from its tender touch of pain"", ""And every day it's looking for new slaves"", 'To celebrate the beauty of the grave', 'We are like the living dead', 'Sacrificing all we have', 'For a frozen heart and a soul on fire', 'Craving for deliverance', 'With a frozen heart and a soul on fire', ""And again we're falling for disgrace"", 'And hate will shelter us from the rain', 'We are enslaved by the sacred heart of shame', 'And gently raped by the light of day', 'Craving for deliverence', 'Addicted to our divine despair', 'The venom of the cross we bear', 'The guilt will follow us to death', 'With a soul on', 'Soul on', 'Fire', 'Soul on fire\n']"
2003,Love Metal,The Sacrament,"['I hear you breathe so far from me', 'I feel your touch so close and real', 'And I know', 'My church is not of silver and gold,', ""It's glory lies beyond judgement of souls"", 'The commandments are of consolation and warmth', ""You know our sacred dream won't fail"", 'The sanctuary tender and so frail', 'The sacrament of love', 'The sacrament of warmth is true', 'The sacrament is you', 'I hear you weep so far from me', ""I taste your tears like you're next to me"", 'My weak prayers are not enough to heal', 'Oh the ancient wounds so deep and so dear', 'The revelation is of hatred and fear', 'The sacrament is you\n']"
2003,Love Metal,This Fortress Of Tears,"['No one can hurt you now', 'In this haven safe and sound', 'No one can save you now', 'From this grace you are drowning', 'in', 'Just hold your breath on your way down', 'This fortress of tears', ""I've built from my fears for you"", ""This fortress won't"", 'fall', ""I've built it strong for you"", 'No one can free you now', 'From the chains around your heart', ""Don't be afraid now"", 'Just', 'dive in this emptiness', 'And hold your breath on your way down\n']"
2003,Love Metal,Circle Of Fear,"['Heartache is knocking on her door', 'Shadows dance outside her window', 'Tears keep falling on the floor', 'As the world around her crumbles', 'Chorus:]', 'If you want to save her', 'First you have to save yourself', 'If you want to free her from the hurt', ""Don't do it with your pain"", 'If you want to see her smile again', ""Don't show her you're afraid"", 'Because your circle of fear is the same', 'Love can be as cold as grave', 'A one-way ticket to endless sorrow', 'An empire of gentle hate', 'Today without tomorrow', 'Chorus]', ""It's the circle of regret"", 'The circle of hate', 'The circle of death', 'Your circle of fear is the same']"
